,company_name,product_line,image_link,colour,hexa_code,sleeve type_value,sleeve type_confidance,pattern type_value,pattern type_confidance,pattern_value,pattern_confidance,sleeve length_value,sleeve length_confidance,neck_value,neck_confidance,tops length_value,tops length_confidance
52,ebay,women_tops,https://i.ebayimg.com/images/g/LBgAAOSwWv5Z5dkp/s-l300.jpg,,,no sleeves,0.794131,animal print,0.996911,printed,0.585904,no sleeves,0.998311,,0.263518,regular,0.852719
53,ebay,women_tops,https://i.ebayimg.com/images/g/mpQAAOSwlpZaVxve/s-l300.jpg,,,butterfly sleeve,0.858622,solid,0.982348,solid,0.629779,short sleeve,0.560248,,0.255595,regular,0.697397
54,ebay,women_tops,https://i.ebayimg.com/images/g/N5IAAOSwvZZZct0N/s-l300.jpg,,,butterfly sleeve,0.952043,solid,0.346425,solid,0.533375,short sleeve,0.902322,,0.245015,regular,0.867064
55,ebay,women_tops,https://i.ebayimg.com/images/g/ePIAAOSwv4NZct0Q/s-l300.jpg,,,,0.48526,solid,0.580128,solid,0.705615,short sleeve,0.508314,,0.380792,regular,0.936648
56,ebay,women_tops,https://i.ebayimg.com/images/g/ZRQAAOSwEaBaBWfL/s-l300.jpg,,,no sleeves,0.713539,colourblocked,0.462769,colourblocked,0.971908,no sleeves,0.99189,,0.322707,regular,0.583989
57,ebay,women_tops,https://i.ebayimg.com/images/g/CMoAAOSw6VRaRySR/s-l300.jpg,,,no sleeves,0.689379,embellishments,0.678908,embellishments,0.976652,no sleeves,0.977453,,0.379506,regular,0.782975
58,ebay,women_tops,https://i.ebayimg.com/images/g/JlsAAOSwkh9aTyJU/s-l300.jpg,,,flared sleeve,0.870811,solid,0.541873,solid,0.987722,short sleeve,0.652117,,0.419918,regular,0.963159
59,ebay,women_tops,https://i.ebayimg.com/images/g/fBoAAOSw-olaOPcy/s-l300.jpg,,,raglan sleeves,0.988778,tribal,0.443306,printed,0.43859,short sleeve,0.927118,,0.5399,regular,0.58088
60,ebay,women_tops,https://i.ebayimg.com/images/g/MmAAAOSwNf1ZskM2/s-l300.jpg,,,raglan sleeves,0.977648,embellishments,0.934392,embellishments,0.944906,short sleeve,0.948382,round neck,0.518384,regular,0.748342
61,ebay,women_tops,https://i.ebayimg.com/images/g/V8AAAOSw8W5aWd~o/s-l300.jpg,,,no sleeves,0.986974,embellishments,0.933535,embellishments,0.994882,no sleeves,0.99989,,0.288046,crop,0.978532
62,ebay,women_tops,https://i.ebayimg.com/images/g/EbgAAOSw1DtXE4ly/s-l300.jpg,,,no sleeves,0.76613,solid,0.404903,solid,0.858394,no sleeves,0.991066,,0.366282,regular,0.929
63,ebay,women_tops,https://i.ebayimg.com/images/g/OvMAAOSwWxNY20X3/s-l300.jpg,,,regular sleeve,0.590884,polka dots,0.799096,printed,0.727755,long sleeve,0.99554,round neck,0.497968,regular,0.6487
64,ebay,women_tops,https://i.ebayimg.com/images/g/3XsAAOSwuLZY2kOs/s-l300.jpg,,,butterfly sleeve,0.661103,solid,0.401926,solid,0.758343,short sleeve,0.989918,round neck,0.541779,longline,0.837886
65,ebay,women_tops,https://i.ebayimg.com/images/g/t-EAAOSwSlBY20fQ/s-l300.jpg,,,,0.449259,tie and dye,0.722268,printed,0.320683,long sleeve,0.890173,,0.338571,regular,0.515454
66,ebay,women_tops,https://i.ebayimg.com/images/g/PJsAAOSwZLhY2z4S/s-l300.jpg,,,cuffed sleeves,0.712396,solid,0.339078,solid,0.761004,long sleeve,0.981543,,0.233559,longline,0.825695
67,ebay,women_tops,https://i.ebayimg.com/images/g/g70AAOSwdGFY22BY/s-l300.jpg,,,butterfly sleeve,0.966099,solid,0.897357,solid,0.601353,short sleeve,0.485926,,0.279966,regular,0.662607
68,ebay,women_tops,https://i.ebayimg.com/images/g/0FQAAOSwSlBY218N/s-l300.jpg,,,flared sleeve,0.911388,floral,0.606468,printed,0.988555,long sleeve,0.961512,mandarin collar,0.76489,longline,0.858495
69,ebay,women_tops,https://i.ebayimg.com/images/g/34oAAOSwuLZY2JPk/s-l300.jpg,,,,0.435242,embroidered,0.461625,embroidered,0.932905,long sleeve,0.846229,,0.460693,longline,0.76054
70,ebay,women_tops,https://i.ebayimg.com/images/g/69MAAOSwax5Y2JuQ/s-l300.jpg,,,flared sleeve,0.743925,polka dots,0.849971,printed,0.422304,long sleeve,0.893956,,0.23973,longline,0.772542
71,ebay,women_tops,https://i.ebayimg.com/images/g/JwkAAOSwzgBY2Kmr/s-l300.jpg,,,butterfly sleeve,0.993927,solid,0.457484,solid,0.596309,short sleeve,0.827274,,0.286178,regular,0.532947
72,ebay,women_tops,https://i.ebayimg.com/images/g/LwwAAOSwZ11aYkiS/s-l300.jpg,,,flared sleeve,0.946058,striped,0.721219,striped,0.672572,long sleeve,0.934394,,0.226643,regular,0.563466
73,ebay,women_tops,https://i.ebayimg.com/images/g/iNwAAOSw~iRZnE5m/s-l300.jpg,,,,0.368177,floral,0.588205,printed,0.589538,short sleeve,0.751052,,0.488355,regular,0.53456
74,ebay,women_tops,https://i.ebayimg.com/images/g/ztAAAOSwFEpakbdf/s-l300.jpg,,,bishop sleeves,0.770578,,0.410505,printed,0.699364,short sleeve,0.994472,,0.446574,regular,0.671278
75,ebay,women_tops,https://i.ebayimg.com/images/g/vLkAAOSwcN1aYkOz/s-l300.png,,,butterfly sleeve,0.886241,,0.881472,,0.445569,,0.528648,,0.264345,longline,0.761894
76,ebay,women_tops,https://i.ebayimg.com/images/g/WG0AAOSwyXNaAddD/s-l300.jpg,,,no sleeves,0.592053,,0.351143,printed,0.564664,no sleeves,0.93024,,0.258128,regular,0.522035
77,ebay,women_tops,https://i.ebayimg.com/images/g/W~0AAOSwn7JYEgAu/s-l300.jpg,,,no sleeves,0.983069,solid,0.843821,solid,0.729318,no sleeves,0.82057,,0.254176,regular,0.645288
78,ebay,women_tops,https://i.ebayimg.com/images/g/YFwAAOSwe6ZaV8MG/s-l300.jpg,,,butterfly sleeve,0.99885,,0.546831,printed,0.827748,long sleeve,0.644436,,0.469451,regular,0.752443
79,ebay,women_tops,https://i.ebayimg.com/images/g/L5UAAOSw7aBVCA46/s-l300.jpg,,,cuffed sleeves,0.804642,solid,0.499384,solid,0.566898,short sleeve,0.889134,,0.228752,regular,0.758815
80,ebay,women_tops,https://i.ebayimg.com/images/g/ElcAAOSwNwZamX-N/s-l300.jpg,,,flared sleeve,0.880461,solid,0.972348,solid,0.80133,long sleeve,0.733792,,0.384035,regular,0.798488
81,ebay,women_tops,https://i.ebayimg.com/images/g/D-sAAOSw~AVYsvEA/s-l300.jpg,,,no sleeves,0.63415,geometrical print,0.77426,printed,0.633698,no sleeves,0.485103,one shoulder,0.570269,regular,0.610206
82,ebay,women_tops,https://i.ebayimg.com/images/g/GysAAOSwhlZZvAAQ/s-l300.jpg,,,no sleeves,0.991896,,0.455941,printed,0.574156,no sleeves,0.694382,,0.339123,regular,0.530643
83,ebay,women_tops,https://i.ebayimg.com/images/g/3dkAAOSwgkhakVCY/s-l300.jpg,,,flared sleeve,0.91881,,0.388464,printed,0.637043,short sleeve,0.977799,,0.359306,regular,0.600496
