,company_name,product_line,image_link,colour,hexa_code,sleeve_type_value,sleeve_type_confidance,pattern_type_value,pattern_type_confidance,pattern_value,pattern_confidance,sleeve_value,sleeve_confidance,neck_value,neck_confidance,tops_length_value,tops_length_confidance,professional_look_value,professional_look_confidance
68,ebay,women_tops,https://i.ebayimg.com/images/g/XRAAAOSwdnZaRi7X/s-l600.jpg,,,no sleeves,0.714196,abstract,0.637345,printed,0.901173,no sleeves,0.999684,shoulder straps,0.843127,regular,0.799745,no,0.92474
69,ebay,women_tops,https://i.ebayimg.com/images/g/oJ8AAOSwal5YMBX0/s-l600.jpg,,,,0.383867,floral,0.99516,printed,0.966465,long sleeve,0.898403,round neck,0.568189,regular,0.886801,no,0.969521
70,ebay,women_tops,https://i.ebayimg.com/images/g/sOIAAOSwxixaRi7S/s-l600.jpg,,,cap sleeve,0.914216,solid,0.450608,solid,0.917162,short sleeve,0.993824,,0.285008,regular,0.81101,no,0.720745
71,ebay,women_tops,https://i.ebayimg.com/images/g/RCMAAOSwzppaRi7U/s-l600.jpg,,,roll-up sleeves,0.960915,solid,0.69423,solid,0.828867,long sleeve,0.991498,,0.423378,regular,0.866045,no,0.72794
72,ebay,women_tops,https://i.ebayimg.com/images/g/FoIAAOSwBjdaRi7X/s-l600.jpg,,,butterfly sleeve,0.556181,floral,0.746072,printed,0.429694,short sleeve,0.999662,round neck,0.810558,regular,0.754322,no,0.848214
73,ebay,women_tops,https://i.ebayimg.com/images/g/6~YAAOSwaeRZIqTw/s-l600.jpg,,,cuffed sleeves,0.982835,checked,0.600008,checked,0.999877,long sleeve,0.978026,shirt collar,0.794886,regular,0.467647,no,0.774766
74,ebay,women_tops,https://i.ebayimg.com/images/g/ZK8AAOSwonBaRiVK/s-l600.jpg,,,no sleeves,0.386992,abstract,0.865127,printed,0.998177,no sleeves,0.848993,shoulder straps,0.80888,regular,0.705388,no,0.957478
75,ebay,women_tops,https://i.ebayimg.com/images/g/nEkAAOSwal5YMBXa/s-l600.jpg,,,no sleeves,0.948644,solid,0.369595,solid,0.421341,no sleeves,0.999844,shoulder straps,0.812249,regular,0.49715,no,0.985787
76,ebay,women_tops,https://i.ebayimg.com/images/g/kXwAAOSwlY1ZIqTy/s-l600.jpg,,,cuffed sleeves,0.979562,solid,0.372538,solid,0.994184,long sleeve,0.998046,,0.294267,longline,0.765554,no,0.580822
77,ebay,women_tops,https://i.ebayimg.com/images/g/P-wAAOSwlMFZIqTy/s-l600.jpg,,,butterfly sleeve,0.972316,ethnic motifs,0.554035,printed,0.999153,long sleeve,0.999911,,0.347222,regular,0.488266,no,0.925453
78,ebay,women_tops,https://i.ebayimg.com/images/g/hwIAAOSwh1paRi7T/s-l600.jpg,,,no sleeves,0.923709,solid,0.588608,solid,0.989449,no sleeves,0.999488,,0.229593,regular,0.486912,no,0.866536
79,ebay,women_tops,https://i.ebayimg.com/images/g/ytoAAOSw4GVYMBXZ/s-l600.jpg,,,no sleeves,0.988803,solid,0.780397,solid,0.469286,no sleeves,0.999622,shoulder straps,0.854747,regular,0.714732,no,0.941197
80,ebay,women_tops,https://i.ebayimg.com/images/g/yYoAAOSwICpaRi7Q/s-l600.jpg,,,cap sleeve,0.909117,solid,0.671827,solid,0.503092,short sleeve,0.677142,,0.381198,regular,0.807796,no,0.713409
81,ebay,women_tops,https://i.ebayimg.com/images/g/66cAAOSwQcJaRi7T/s-l600.jpg,,,roll-up sleeves,0.981288,solid,0.853631,solid,0.56553,three-quarter sleeve,0.695882,,0.210564,regular,0.714402,no,0.620725
82,ebay,women_tops,https://i.ebayimg.com/images/g/HOsAAOSwHMJYMBXY/s-l600.jpg,,,regular sleeve,0.53294,solid,0.515589,solid,0.855458,long sleeve,0.999992,,0.592987,regular,0.483247,no,0.543945
83,ebay,women_tops,https://i.ebayimg.com/images/g/EpEAAOSwb79aRi7V/s-l600.jpg,,,no sleeves,0.720752,solid,0.323253,solid,0.971135,no sleeves,0.99635,,0.412313,regular,0.612085,no,0.886508
84,ebay,women_tops,https://i.ebayimg.com/images/g/HIIAAOSwk~ZaRi7P/s-l600.jpg,,,,0.370346,checked,0.998826,checked,0.999974,long sleeve,0.994002,,0.555978,longline,0.851702,no,0.520899
85,ebay,women_tops,https://i.ebayimg.com/images/g/T5UAAOSwnw9aRi7W/s-l600.jpg,,,roll-up sleeves,0.635652,solid,0.653924,solid,0.82478,long sleeve,0.981237,,0.408503,regular,0.885136,no,0.754563
86,ebay,women_tops,https://i.ebayimg.com/images/g/0JQAAOSwiDFYMBXj/s-l600.jpg,,,bishop sleeves,0.977161,graphic print,0.781352,printed,0.995717,three-quarter sleeve,0.564838,,0.218872,regular,0.679277,no,0.921635
87,ebay,women_tops,https://i.ebayimg.com/images/g/CkgAAOSww5hZIqRd/s-l600.jpg,,,no sleeves,0.994981,self design,0.928055,self design,0.993882,no sleeves,0.988718,round neck,0.621819,longline,0.811895,no,0.872896
88,ebay,women_tops,https://i.ebayimg.com/images/g/FWIAAOSwLMlaRi7X/s-l600.jpg,,,flared sleeve,0.73537,solid,0.424683,solid,0.989735,short sleeve,0.992953,,0.359703,regular,0.85126,no,0.687073
89,ebay,women_tops,https://i.ebayimg.com/images/g/nFMAAOSwn-tZIqTw/s-l600.jpg,,,no sleeves,0.949254,solid,0.649035,solid,0.997528,no sleeves,0.99981,shoulder straps,0.918384,regular,0.936815,no,0.967326
90,ebay,women_tops,https://i.ebayimg.com/images/g/oH0AAOSw4PxaRi7i/s-l600.jpg,,,cuffed sleeves,0.737004,checked,0.575643,checked,0.994251,long sleeve,0.970672,mandarin collar,0.738068,longline,0.917177,no,0.579183
91,ebay,women_tops,https://i.ebayimg.com/images/g/nHQAAOSwn-tZIqTz/s-l600.jpg,,,cap sleeve,0.990185,ethnic motifs,0.963175,printed,0.992089,short sleeve,0.99998,,0.247621,regular,0.656188,no,0.885877
92,ebay,women_tops,https://i.ebayimg.com/images/g/rXIAAOSwj85YMCcK/s-l600.jpg,,,cuffed sleeves,0.726465,solid,0.790967,solid,0.827409,long sleeve,0.997622,,0.339865,longline,0.807771,no,0.566846
93,ebay,women_tops,https://i.ebayimg.com/images/g/rXQAAOSwj85YMBXV/s-l600.jpg,,,,0.445539,solid,0.822658,solid,0.769601,short sleeve,0.571752,v-neck,0.47587,regular,0.626952,no,0.818768
94,ebay,women_tops,https://i.ebayimg.com/images/g/j08AAOSwB09YMBuJ/s-l600.jpg,,,butterfly sleeve,0.558013,floral,0.959794,printed,0.970187,three-quarter sleeve,0.915987,,0.500214,longline,0.973456,no,0.940878
95,ebay,women_tops,https://i.ebayimg.com/images/g/8VwAAOSwImRYMBXc/s-l600.jpg,,,no sleeves,0.849954,striped,0.831367,striped,0.731196,no sleeves,0.996459,high neck,0.813565,regular,0.756167,no,0.715128
96,ebay,women_tops,https://i.ebayimg.com/images/g/auIAAOSwm3paRi7O/s-l600.jpg,,,cap sleeve,0.796072,solid,0.532918,solid,0.918828,short sleeve,0.999447,round neck,0.571344,regular,0.660789,no,0.743428
97,ebay,women_tops,https://i.ebayimg.com/images/g/Sy4AAOSwm3paRidl/s-l600.jpg,,,no sleeves,0.957321,solid,0.881805,solid,0.614729,no sleeves,0.99958,shoulder straps,0.70435,regular,0.670455,no,0.944808
98,ebay,women_tops,https://i.ebayimg.com/images/g/lO8AAOSwuxFY2kBx/s-l600.jpg,,,no sleeves,0.996634,solid,0.773412,solid,0.496528,no sleeves,0.997159,,0.472887,regular,0.845968,no,0.925039
99,ebay,women_tops,https://i.ebayimg.com/images/g/JKIAAOSwpzJaRi7m/s-l600.jpg,,,,0.432005,geometrical print,0.651019,printed,0.568229,long sleeve,0.996218,,0.466491,regular,0.621402,no,0.705473
100,ebay,women_tops,https://i.ebayimg.com/images/g/z3YAAOSwiDFYMBXd/s-l600.jpg,,,cuffed sleeves,0.789549,solid,0.54026,solid,0.97787,long sleeve,0.984792,,0.57049,regular,0.672501,no,0.572054
101,ebay,women_tops,,,,,,,,,,,,,,,,,
